Model,Dataset,Attack Type,Clean Accuracy,Attacked Accuracy,Drop Rate,Robustness Score
gpt-4o-mini,sst2,textbugger,0.0,0.0,0.0,0.0
gpt-4o-mini,sst2,deepwordbug,0.0,0.0,0.0,0.0
gpt-4o-mini,sst2,textfooler,0.0,0.0,0.0,0.0
gpt-4o-mini,sst2,checklist,0.0,0.0,0.0,0.0
gpt-4o-mini,sst2,stresstest,0.0,0.0,0.0,0.0
claude-haiku,sst2,textbugger,0.0,0.0,0.0,0.0
claude-haiku,sst2,deepwordbug,0.0,0.0,0.0,0.0
claude-haiku,sst2,textfooler,0.0,0.0,0.0,0.0
claude-haiku,sst2,checklist,0.0,0.0,0.0,0.0
claude-haiku,sst2,stresstest,0.0,0.0,0.0,0.0
gemini-flash,sst2,textbugger,0.0,0.0,0.0,0.0
gemini-flash,sst2,deepwordbug,0.0,0.0,0.0,0.0
gemini-flash,sst2,textfooler,0.0,0.0,0.0,0.0
gemini-flash,sst2,checklist,0.0,0.0,0.0,0.0
gemini-flash,sst2,stresstest,0.0,0.0,0.0,0.0
llama-3-8b,sst2,textbugger,100.0,100.0,0.0,100.0
llama-3-8b,sst2,deepwordbug,100.0,100.0,0.0,100.0
llama-3-8b,sst2,textfooler,100.0,100.0,0.0,100.0
llama-3-8b,sst2,checklist,100.0,100.0,0.0,100.0
llama-3-8b,sst2,stresstest,100.0,100.0,0.0,100.0
mistral-7b,sst2,textbugger,0.0,0.0,0.0,0.0
mistral-7b,sst2,deepwordbug,0.0,0.0,0.0,0.0
mistral-7b,sst2,textfooler,0.0,0.0,0.0,0.0
mistral-7b,sst2,checklist,0.0,0.0,0.0,0.0
mistral-7b,sst2,stresstest,0.0,0.0,0.0,0.0
gpt-4o-mini,mmlu,textbugger,0.0,0.0,0.0,0.0
gpt-4o-mini,mmlu,deepwordbug,0.0,0.0,0.0,0.0
gpt-4o-mini,mmlu,textfooler,0.0,0.0,0.0,0.0
gpt-4o-mini,mmlu,checklist,0.0,0.0,0.0,0.0
gpt-4o-mini,mmlu,stresstest,0.0,0.0,0.0,0.0
claude-haiku,mmlu,textbugger,0.0,0.0,0.0,0.0
claude-haiku,mmlu,deepwordbug,0.0,0.0,0.0,0.0
claude-haiku,mmlu,textfooler,0.0,0.0,0.0,0.0
claude-haiku,mmlu,checklist,0.0,0.0,0.0,0.0
claude-haiku,mmlu,stresstest,0.0,0.0,0.0,0.0
gemini-flash,mmlu,textbugger,0.0,0.0,0.0,0.0
gemini-flash,mmlu,deepwordbug,0.0,0.0,0.0,0.0
gemini-flash,mmlu,textfooler,0.0,0.0,0.0,0.0
gemini-flash,mmlu,checklist,0.0,0.0,0.0,0.0
gemini-flash,mmlu,stresstest,0.0,0.0,0.0,0.0
llama-3-8b,mmlu,textbugger,100.0,33.3,66.7,33.3
llama-3-8b,mmlu,deepwordbug,100.0,66.7,33.3,66.7
llama-3-8b,mmlu,textfooler,100.0,66.7,33.3,66.7
llama-3-8b,mmlu,checklist,100.0,100.0,0.0,100.0
llama-3-8b,mmlu,stresstest,100.0,66.7,33.3,66.7
mistral-7b,mmlu,textbugger,0.0,0.0,0.0,0.0
mistral-7b,mmlu,deepwordbug,0.0,0.0,0.0,0.0
mistral-7b,mmlu,textfooler,0.0,0.0,0.0,0.0
mistral-7b,mmlu,checklist,0.0,0.0,0.0,0.0
mistral-7b,mmlu,stresstest,0.0,0.0,0.0,0.0
